Team, Games, Strength
Anaheim Ducks, 6, 0.8620689655172413
Arizona Coyotes, 6, 0.5064935064935064
Boston Bruins, 7, 1.105263157894737
Buffalo Sabres, 8, 0.5565217391304348
Calgary Flames, 7, 1.4189189189189189
Carolina Hurricanes, 7, 1.4583333333333333
Chicago Blackhawks, 5, 0.7377049180327869
Colorado Avalanche, 6, 1.3875
Columbus Blue Jackets, 7, 1.2945205479452055
Dallas Stars, 7, 1.1395348837209303
Detroit Red Wings, 7, 0.8131313131313131
Edmonton Oilers, 6, 0.96
Florida Panthers, 6, 1.4285714285714286
Los Angeles Kings, 6, 0.9529411764705883
Minnesota Wild, 7, 1.1185567010309279
Montréal Canadiens, 7, 0.5153374233128835
Nashville Predators, 8, 1.1214953271028036
New Jersey Devils, 6, 0.782608695652174
New York Islanders, 7, 0.6683417085427136
New York Rangers, 6, 1.4142857142857144
Ottawa Senators, 7, 0.7430167597765363
Philadelphia Flyers, 7, 0.6213017751479291
Pittsburgh Penguins, 7, 1.1243523316062176
San Jose Sharks, 7, 0.8563829787234042
Seattle Kraken, 6, 0.6530612244897959
St. Louis Blues, 8, 1.3043478260869565
Tampa Bay Lightning, 7, 1.2833333333333332
Toronto Maple Leafs, 8, 1.3894736842105264
Vancouver Canucks, 5, 1.179245283018868
Vegas Golden Knights, 5, 1.218487394957983
Washington Capitals, 6, 1.105263157894737
Winnipeg Jets, 7, 0.88
